,l,k_pos_bal,k_neg_bal,avg_pos_k_bal,avg_neg_k_bal,avg_rel_signed_clust_coeff,avg_pos_to_neg_ratio,avg_neg_to_pos_ratio,avg_total,avg_pos,avg_neg,zeros_total,zeros_pos,zeros_neg,std_pos_k_bal,std_pos_k_bal_perc,std_neg_k_bal,std_neg_k_bal_perc,std_rel_signed_clust_coeff,std_rel_signed_clust_coeff_perc,std_pos_to_neg_ratio,std_pos_to_neg_ratio_perc,std_neg_to_pos_ratio,std_neg_to_pos_ratio_perc,std_total,std_total_perc,std_pos,std_pos_perc,std_neg,std_neg_perc,avg_of_all_pos_k_balance,avg_of_all_neg_k_balance,pos_degree_of_bal,neg_degree_of_bal,pos_weighted_1_k_bal,neg_weighted_1_k_bal,pos_weighted_1_k_2_bal,neg_weighted_1_k_2_bal,pos_weighted_1_k_3_bal,neg_weighted_1_k_3_bal,pos_weighted_1_k_4_bal,neg_weighted_1_k_4_bal,pos_weighted_1_k_fac_bal,neg_weighted_1_k_fac_bal,run,kind,null_model,cow_year,directed,dataset,neg_edge_dist_exact,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,max_length,exact,parallel,full_matrix_mem,clean_matrix_mem,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,0.0,0.0,,,,,,0.0,0.0,0.0,True,True,True,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8417462074472274,0.15825379255276634,0.7916864591215762,0.20831354087842394,0.7878801325221788,0.21211986747782144,0.784260626284022,0.21573937371597807,0.7809288218509535,0.2190711781490467,0.7779532959195257,0.2220467040804745,0.7749613141874219,0.22503868581257822,0.0,dataset,False,1940,False,cow,False,0.3620309050772627,61.0,320.0,289.0,164.0,cx,20.0,12.0,False,False,3721.0,3721.0,23.049838066101074,269462.0,36736.0,232726.0,130250193.0,23.56041193008423,2024-12-08 17:50:39.410735
1,1,0.0,0.0,,,,,,0.0,0.0,0.0,True,True,True,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,0.0,0.0,,,,,,0.0,0.0,0.0,True,True,True,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,0.9014373716632443,0.09856262833675565,0.7656040071040071,0.23439599289599275,0.5312080142080146,4.969597069597068,0.5006815670652672,24.349999999999994,21.949999999999996,2.3999999999999995,False,False,False,0.2913844052836297,0.38059414864588764,0.2913844052836294,1.2431287825510047,0.5827688105672588,1.0970632877896562,5.666899305244508,1.1403136362731268,0.9664747046106651,1.930318126700036,46.59535921097722,1.9135671133871552,44.87368382470955,2.0443591719685448,2.7459060435491955,1.1441275181454984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,0.9321047526673133,0.06789524733268673,0.888676576834471,0.11132342316552916,0.7773531536689423,5.2270833333333195,0.20566965614762503,103.1,96.1,7.000000000000002,False,False,False,0.17761495483577877,0.19986456205299777,0.17761495483577883,1.5954859254703242,0.3552299096715562,0.4569736521874855,4.505936959384199,0.8620365645693189,0.41677628559283564,2.026435466463186,320.63388779104434,3.109931016401982,301.58877631636096,3.138280710888252,19.748417658131498,2.8212025225902133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,0.9237881759596527,0.07621182404034746,0.9208519450561121,0.07914805494390052,0.841703890112221,4.572974910394356,0.12717220768087928,535.3499999999983,494.54999999999853,40.79999999999988,False,False,False,0.14629928897565314,0.15887384477071217,0.14629928897564626,1.8484255750737268,0.29259857795131583,0.3476265007071606,4.004058459349334,0.875591608921388,0.2639893074979818,2.0758411944882305,2063.15261856703,3.8538388317307115,1907.5064999889237,3.8570548983700927,156.47766613801474,3.8352369151474313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,0.9099442346991735,0.09005576530082654,0.7167613636363662,0.28323863636355784,0.43352272727286795,3.027272727272627,0.306568144499157,2887.10000000031,2627.100000000266,260.0000000000442,False,False,False,0.32636185089882114,0.455328464194945,0.3263618508986585,1.1522504665632862,0.6527237017973239,1.5056274117469426,3.588272910375796,1.1853153757998518,0.3665344637052231,1.1956051869121418,12062.228127092963,4.1779737893012605,10966.028387252396,4.174195267500775,1096.9869643712382,4.219180632196352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,0.8946383261927664,0.10536167380723363,0.8922348484848772,0.10776515151512285,0.7844696969697543,5.252747252748267,0.1500313873194628,14424.600000001825,12904.800000001811,1519.8000000000145,False,False,False,0.13268434405909027,0.14871011178772534,0.1326843440590903,1.231236092499443,0.26536868811818054,0.3382778061960142,3.175824175824217,0.6046025104601421,0.19739754501303797,1.3157083230372195,62104.97469640376,4.305490252512784,55516.45551510689,4.30200045836426,6588.953237047674,4.335408104387163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,0.8790058589936655,0.12099414100633447,0.8696969696969202,0.13030303030307983,0.7393939393938403,4.374999999996346,0.20114942528745747,62502.20000000104,54939.799999994786,7562.400000006244,False,False,False,0.163383643232871,0.18786272566846862,0.16338364323287102,1.2538744713215568,0.3267672864657421,0.44193936284307106,2.8749999999969704,0.6571428571427135,0.2746020072506916,1.3651642646170377,271834.7498683019,4.349202905950468,238882.10095348078,4.348070086776862,32952.72707139415,4.357443016947919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,0.8636363636365748,0.1363636363634253,0.8636363636365747,0.13636363636342527,0.7272727272731495,6.333333333344685,0.15789473684182226,221759.99999939086,191519.99999952075,30239.999999870128,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,966629.4297169247,4.358898943540674,834816.3256648207,4.358898943540673,131813.10405210388,4.358898943540674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,0.8484848484853655,0.1515151515146344,0.8484848484853655,0.1515151515146344,0.6969696969707313,5.600000000022525,0.1785714285707103,598752.0000076886,508032.0000068333,90720.00000085533,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2609899.4602763792,4.358898943540673,2214460.148114641,4.358898943540674,395439.31216173817,4.358898943540673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,0.8333333333261824,0.16666666667381771,0.8333333333261823,0.1666666666738177,0.6666666666523644,4.999999999742563,0.20000000001029747,1088639.9999808804,907199.9999762822,181440.00000459832,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4745271.745812778,4.358898943540673,3954393.121476716,4.358898943540674,790878.6243360633,4.358898943540673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,0.8181818182113969,0.18181818178860312,0.8181818182113969,0.18181818178860312,0.6363636364227938,4.500000000894755,0.22222222217803678,997919.999952577,816479.9999907166,181439.99996186048,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4349832.433531398,4.358898943540674,3558953.8093816238,4.358898943540674,790878.6241497735,4.358898943540674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
